expresion,expression_base,class,class_general
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Asseco Poland Spółkę Akcyjną ,Asseco Poland spółka akcyjny ,nam_org_company,nam_org
Prezesa Krajowej Izby Odwoławczej ,prezes krajowy izba odwoławczy ,nam_org_institution,nam_org
Fundusz Zdrowia Centrala ,fundusz zdrowie centrala ,nam_org_institution,nam_org
Dzienniku Urzędowym ,dziennik urzędowy ,nam_pro_media_periodic,nam_pro
Asseco Poland Spółka Akcyjna ,Asseco Poland spółka akcyjny ,nam_org_company,nam_org
Poland ,Poland ,nam_loc_gpe_country,nam_loc
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
KRS ,KRS ,nam_org_organization,nam_org
Engave Spółka ,Engave spółka ,nam_org_company,nam_org
Siemens ,Siemens ,nam_liv_person,nam_liv
KRS ,KRS ,nam_org_organization,nam_org
VAT ,VAT ,nam_org_organization,nam_org
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
Zakładu Ubezpieczeń Społecznych ,zakład ubezpieczenie społeczny ,nam_org_institution,nam_org
Krajowego Rejestru Karnego ,krajowy rejestr karny ,nam_org_institution,nam_org
Krajowego Rejestru Karnego ,krajowy rejestr karny ,nam_org_institution,nam_org
Rzeczypospolitej Polskiej ,rzeczpospolita polski ,nam_loc_gpe_country,nam_loc
Siemens IT Solutions and Services ,Siemens Ita Solutions Anda Services ,nam_org_organization,nam_org
ZUS ,ZUS ,nam_pro_media_web,nam_pro
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Szpital Specjalistyczny ,szpital specjalistyczny ,nam_org_institution,nam_org
Prawo Zamówień Publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Szpital Specjalistyczny nr 1 ,szpital specjalistyczny nr 1 ,nam_fac_road,nam_fac
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Zamawiającemu ,zamawiać ,nam_liv_person,nam_liv
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
VAT ,VAT ,nam_oth_tech,nam_oth
Formularz Ofertowy ,formularz ofertowy ,nam_liv_person,nam_liv
Dzienniku Ustaw ,dziennik ustawa ,nam_pro_media_periodic,nam_pro
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Warszawa ,Warszawa ,nam_loc_gpe_city,nam_loc
Alstom Power Sp ,Alstom Power spółka ,nam_org_company,nam_org
Zamawiającego Elektrownia Wiatrowa Resko ,zamawiać elektrownia wiatrowy resko ,nam_fac_goe,nam_fac
Elektrownię Wiatrową Resko Sp ,elektrownia wiatrowy resko spółka ,nam_org_company,nam_org
Alstom Power Sp ,Alstom Power spółka ,nam_org_company,nam_org
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Elektrownia Wiatrowa Resko Sp ,elektrownia wiatrowy resko spółka ,nam_fac_goe,nam_fac
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Zamawiającemu ,zamawiać ,nam_liv_person,nam_liv
Izby ,izba ,nam_loc_gpe_city,nam_loc
GE Wind Energy GmbH ,GE winda Energy GmbH ,nam_org_organization,nam_org
ENERGOPROJEKT ,ENERGOPROJEKT ,nam_org_organization,nam_org
WARSZAWA S ,Warszawa sekunda ,nam_org_company,nam_org
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
GE International S ,GE International sekunda ,nam_org_company,nam_org
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
GE Wind Energy GmbH ,GE winda Energy GmbH ,nam_org_company,nam_org
GE International S ,GE International sekunda ,nam_org_company,nam_org
Spółka GE International S ,spółka GE International sekunda ,nam_org_company,nam_org
Spółki GE Wind Energy GmbH i GE International S ,spółka GE winda Energy GmbH i GE International sekunda ,nam_org_company,nam_org
GE International S ,GE International sekunda ,nam_org_company,nam_org
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
GE Wind Energy GmbH ,GE winda Energy GmbH ,nam_org_company,nam_org
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Odwołujący ,odwoływać ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
SAG Elbud Gdańsk Holding S ,saga Elbud Gdańsk holding sekunda ,nam_org_company,nam_org
SAG Elbud Gdańsk Holding S ,saga Elbud Gdańsk holding sekunda ,nam_org_company,nam_org
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
SAG Elbud Gdańsk Holding S ,saga Elbud Gdańsk holding sekunda ,nam_org_company,nam_org
Wykonawca ,wykonawca ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Południowy Koncern Energetyczny SA ,południowy koncern energetyczny SA ,nam_org_company,nam_org
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Elektrowni Jaworzno III ,elektrownia Jaworzno III ,nam_fac_goe,nam_fac
PKE Łaziska ,PKE Łaziska ,nam_org_company,nam_org
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Krajowej Izby Odwoławczej ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Sąd Okręgowy w Bydgoszczy ,sąd okręgowy w Bydgoszcz ,nam_org_institution,nam_org
Programu Funkcjonalno ,program Funkcjonalno ,nam_eve_human,nam_eve
Programu Funkcjonalno ,program Funkcjonalno ,nam_eve_human,nam_eve
Kontraktu ,kontrakt ,nam_loc_gpe_city,nam_loc
Zakładów Pomiarowo ,zakład Pomiarowo ,nam_org_company,nam_org
Izby ,izba ,nam_loc_gpe_city,nam_loc
Ministra Infrastruktury ,minister infrastruktura ,nam_org_institution,nam_org
Izby ,izba ,nam_loc_gpe_city,nam_loc
